id;booking_id;description;booking_date;slot_starting;slot_ending
1;23354;turquoise payment Analyst;2020-06-30;2020-06-30;2020-07-01
2;45635;metrics Cambridgeshire Consultant;2020-06-30;2020-06-30;2020-07-01
3;12348;orchid Norwegian Krone;2020-07-01;2020-07-01;2020-07-01
4;51658;Optimized Devolved leading-edge;2020-06-30;2020-07-01;2020-07-01
5;39403;Progressive deposit Applications;2020-07-01;2020-07-01;2020-07-01
6;36665;Tools seamless;2020-07-01;2020-06-30;2020-06-30
7;80455;emulation Bedfordshire;2020-06-30;2020-06-30;2020-06-30
8;7168;mission-critical;2020-06-30;2020-07-01;2020-06-30
9;90595;Toys;2020-06-30;2020-07-01;2020-06-30
10;96111;Liberian Dollar Towels;2020-07-01;2020-07-01;2020-07-01
